天体名称,距离模数,退行速度
UGC03406,34.19,5316
UGC03403,31.22,1390
PGC018581,32.11,1904
UGC03422,34.05,4185
ESO121-020,28.92,372
ESO489-029,32.09,1519
UGC03413,33.24,4366
PGC018813,34.36,5416
PGC018848,32.04,2675
PGC018855,30.52,587
ESO556-015,32.14,1811
UGC03459,33.35,2781
PGC018989,32.42,4372
ESO426-008,35.11,6866
ESO489-056,29,304
ESO490-005,35.38,6929
ESO490-007,32.39,2656
UGC03484,35.08,7500
ESO557-005,36.49,10948
UGC03498,33.36,3713
PGC019325,34.71,5835
PGC019343,30.55,578
NGC2263,32.16,2552
NGC2273A,31.56,2186
ESO122-001,32.27,2401
ESO206-020A,20.16,13
UGC03524,33.35,3834
IC2171,30.2,608
ESO427-006,33.25,2591
NGC2283,29.97,662
NGC2273B,31.59,2188
ESO490-045,31.9,1514
NGC2293,31.14,1841
UGC03587,31.9,1196
UGC03575,33.88,4008
UGC03540,32.44,2096
ESO491-009,32.67,1857
UGC03605,35.77,7881
UGC03598,30.58,2078
ESO491-012,33.14,2383
UGC03627,34.37,6330
UGC03630,32.02,1632
UGC03637,32.68,3426
PGC020125,28.61,345
ESO427-034,32.29,2179
PGC020274,32.44,1554
ESO491-020,33.45,2672
UGC03731,34.15,4864
UGC03717,33.61,4314
UGC03751,32.1,2235
UGC03770,34.94,6317
UGC03749,32.19,1261
ESO428-015,31.75,1868
UGC03777,32.83,3176
ESO428-018,32.69,1870
ESO428-017,32.69,2180
UGC03784,34.07,2541
UGC03783,35.1,6126
ESO367-017,32.27,2569
UGC03808,33.48,2332
PGC020827,31.08,1456
PGC020830,34.78,5032
UGC03820,33.03,2444
UGC03830,30.8,1226
ESO428-028,32.44,2046
PGC021028,33.82,2321
ESO429-001,32.73,1903
ESO208-021,30.64,796
PGC021302,27.53,314
NGC2427,30.07,745
UGC03909,31.85,1069
UGC03921,33.85,2601
ESO560-004,32.87,1979
UGC03955,33.62,4986
PGC021549,36.02,8329
PGC021614,29.51,190
ESO163-014,32.9,2634
UGC03979,34.04,4163
PGC021697,34.58,5245
ESO560-012,33.29,3110
PGC021772,29.83,488
PGC021831,33.88,4678
ESO560-013,33.56,3041
IC2207,34.45,4773
ESO494-007,32.05,1350
UGC04113,34.96,5231
ESO561-003,33.14,3318
ESO209-009,30.5,890
PGC022401,35.21,7343
UGC04148,32.25,726
UGC04195,34.18,4982
ESO494-021,32.82,1376
ESO494-026,29.06,750
UGC04238,31.39,1676
PGC022976,35.63,9458
ESO430-026,32.6,1436
NGC2559,31.01,1340
UGC04306,31.86,2390
PGC023262,32.16,2028
PGC023420,33.74,4066
